X;Y;Z
12.842597;0.901867;0.532113
12.842597;0.25813;1.340845
12.842597;0.014605;0.599328
12.842597;0.195369;1.07285
12.842597;1.041478;0.628979
12.842597;0.228089;1.210752
12.842597;0.224902;1.054568
12.842597;0.479636;0.409297
12.842597;0.103223;0.663397
12.842597;0.448454;1.028748
12.842597;0.302964;0.75252
12.842597;0.821807;0.758004
12.842597;1.254403;0.473601
12.842597;0.900136;0.575141
12.842597;1.165713;0.567978
12.842597;0.785489;0.943604
12.842597;1.047084;0.437955
12.842597;0.457177;1.157888
12.842597;0.323375;0.820157
12.842597;0.477145;0.447621
12.842597;0.945068;0.420179
12.842597;0.2264;1.147207
12.842597;0.049629;0.823309
12.842597;0.824669;0.707841
12.842597;0.090869;0.781624
12.842597;1.089982;0.390667
12.842597;0.019377;1.42478
12.842597;0.005896;0.481015
5.392759;0;3.004875
5.656683;0;3.048649
5.431528;0;2.934926
5.355785;0;2.943321
5.574507;0;3.024162
5.404462;0;2.93394
5.334901;0;2.945644
7.48651;0.564846;3.088087
7.489635;0.589902;3.106471
7.488984;0.572653;3.102643
6.412356;0.306605;2.359101
5.310035;1.021622;3.08013
5.317507;1.04648;3.02983
5.314112;0.919488;3.048439
5.315648;0.988142;3.040432
5.309114;0.981798;3.084975
5.847737;0.996622;2.745163
5.877755;1.056594;2.7033
5.847024;0.832127;2.746157
5.852243;0.883255;2.738879
7.899877;2.384417;6.377663
7.899877;2.591209;6.119692
7.899877;2.311719;6.161648
7.899877;2.353536;6.47704
7.899877;2.893894;6.053483
7.899877;2.994665;5.938723
7.899877;2.412743;6.196645
7.899877;2.559892;6.129522
7.899877;2.252117;6.622337
7.899877;2.274185;6.489981
7.899877;2.343979;6.243061
7.899877;2.523821;6.322671
7.899877;2.562223;6.289415
7.899877;2.455749;6.319883
7.899877;2.660956;6.157197
7.899877;2.133384;6.328157
7.899877;2.46016;6.290058
7.899877;2.389186;6.23622
7.899877;2.108612;6.372959
7.899877;2.320427;6.522532
7.899877;2.921269;6.05348
7.899877;2.919105;6.025005
7.899877;2.784854;6.007152
7.899877;3.063777;5.936725
7.899877;2.271008;6.160598
7.899877;2.510959;6.387526
7.899877;2.577721;6.063721
7.899877;2.368738;6.184788
7.899877;2.606719;6.126993
7.899877;2.147066;6.588596
7.899877;2.621854;6.137178
7.899877;2.117469;6.397237
7.899877;2.253441;6.34778
7.899877;2.134112;6.335488
7.899877;2.24674;6.304203
7.899877;2.368755;6.500936
7.899877;2.365108;6.322992
7.899877;2.232717;6.386185
7.899877;2.386303;6.112428
7.899877;2.943408;5.973993
7.899877;2.346379;6.228829
7.899877;2.676938;6.168709
7.899877;2.262588;6.598736
7.899877;2.580857;6.219031
7.899877;2.21976;6.533925
7.899877;2.123111;6.556305
7.899877;2.154579;6.528355
7.899877;2.297961;6.63042
7.899877;2.248067;6.636219
7.899877;2.479071;6.314502
7.899877;2.144424;6.683094
7.899877;2.573697;6.076075
7.899877;2.275359;6.600045
7.899877;2.984448;5.978493
7.899877;2.315365;6.309014
7.899877;2.623872;6.250805
7.899877;2.537122;6.403498
7.899877;2.631745;6.322298
7.899877;2.470668;6.110911
7.899877;2.530029;6.156663
7.899877;2.65523;6.293886
7.899877;2.383525;6.244144
7.899877;2.187166;6.534076
7.899877;2.104106;6.812278
7.899877;2.108038;6.640073
7.899877;2.657582;6.030918
7.899877;2.335404;6.44251
7.899877;2.685183;6.109272
7.899877;2.156403;6.357138
7.899877;2.578993;6.293607
7.899877;2.29938;6.505125
7.899877;2.303288;6.503463
7.899877;2.676768;6.028071
7.899877;2.59096;6.048915
7.899877;2.110558;6.506053
7.899877;2.597005;6.12636
7.899877;2.221635;6.521107
7.899877;2.176171;6.357009
7.899877;2.616487;6.193053
7.899877;2.126436;6.628296
7.899877;2.835408;5.99809
7.899877;2.791758;6.092469
7.899877;2.79836;6.076393
7.899877;2.514981;6.392038
7.899877;2.173008;6.313355
7.899877;2.260964;6.564688
7.899877;2.150814;6.72755
7.899877;2.436648;6.479577
7.899877;2.325322;6.197836
7.899877;2.475852;6.267179
