id;X;Y;Z;dist1;dist2;dist3
196;1.341447;0;5.439782;16.05;11.84;24.56
197;1.341447;0;5.186312;16.04;11.81;24.56
198;1.341447;0;4.932842;16.02;11.8;24.56
199;1.341447;0;4.679371;16.02;11.79;24.56
200;1.341447;0;4.425901;16.01;11.78;24.56
201;1.341447;0;4.172431;16.01;11.78;24.56
202;1.341447;0;3.918961;16.01;11.78;24.56
203;1.341447;0;3.66549;16.02;11.79;24.56
204;1.341447;0;3.41202;16.03;11.81;24.56
205;1.341447;0;3.15855;16.05;11.83;24.56
206;1.341447;0;2.90508;16.07;11.85;24.56
207;1.341447;0;2.65161;16.09;11.88;24.56
208;1.341447;0;2.398139;16.12;11.92;24.56
209;1.341447;0;2.144669;16.15;11.96;24.56
210;1.341447;0;1.891199;16.18;12.01;24.56
211;1.341447;0;1.637729;16.22;12.06;24.56
212;1.341447;0;1.384259;16.26;12.12;24.56
213;1.341447;0;1.130788;16.31;12.18;24.56
214;1.341447;0;0.877318;16.36;12.24;24.56
215;1.341447;0;0.623848;16.41;12.32;24.56
216;1.341447;0;0.370378;16.47;12.39;24.56
217;1.590815;0;7.974484;16.19;12.1;24.31
218;1.590815;0;7.721014;16.13;12.03;24.31
219;1.590815;0;7.467544;16.08;11.96;24.31
220;1.590815;0;7.214073;16.03;11.9;24.31
221;1.590815;0;6.960603;15.99;11.84;24.31
222;1.590815;0;6.707133;15.95;11.78;24.31
223;1.590815;0;6.453663;15.91;11.73;24.31
224;1.590815;0;6.200193;15.88;11.69;24.31
225;1.590815;0;5.946722;15.85;11.65;24.31
226;1.590815;0;5.693252;15.83;11.62;24.31
227;1.590815;0;5.439782;15.8;11.59;24.31
228;1.590815;0;5.186312;15.79;11.57;24.31
229;1.590815;0;4.932842;15.78;11.55;24.31
230;1.590815;0;4.679371;15.77;11.54;24.31
231;1.590815;0;4.425901;15.76;11.53;24.31
232;1.590815;0;4.172431;15.76;11.53;24.31
233;1.590815;0;3.918961;15.76;11.53;24.31
234;1.590815;0;3.66549;15.77;11.54;24.31
235;1.590815;0;3.41202;15.78;11.56;24.31
236;1.590815;0;3.15855;15.8;11.58;24.31
237;1.590815;0;2.90508;15.82;11.61;24.31
238;1.590815;0;2.65161;15.84;11.64;24.31
239;1.590815;0;2.398139;15.87;11.67;24.31
240;1.590815;0;2.144669;15.9;11.72;24.31
241;1.590815;0;1.891199;15.93;11.76;24.31
242;1.590815;0;1.637729;15.97;11.82;24.31
243;1.590815;0;1.384259;16.02;11.87;24.31
244;1.590815;0;1.130788;16.06;11.94;24.31
245;1.590815;0;0.877318;16.11;12;24.31
246;1.590815;0;0.623848;16.17;12.08;24.31
247;1.590815;0;0.370378;16.23;12.15;24.31
248;1.840183;0;7.974484;15.95;11.87;24.06
249;1.840183;0;7.721014;15.89;11.79;24.06
250;1.840183;0;7.467544;15.84;11.72;24.06
251;1.840183;0;7.214073;15.79;11.65;24.06
252;1.840183;0;6.960603;15.74;11.59;24.06
253;1.840183;0;6.707133;15.7;11.54;24.06
254;1.840183;0;6.453663;15.66;11.49;24.06
