timestamp;id;gender;age;group
310;184;1;2;1
310;1484;1;1;2
311;223;1;2;1
311;1523;1;1;2
312;262;1;2;1
312;1562;1;1;2
313;301;1;2;1
313;1562;1;1;2
314;341;1;2;1
314;1601;1;1;2
315;341;1;2;1
315;1640;1;1;2
316;381;1;2;1
316;1679;1;1;2
317;420;1;2;1
317;1718;1;1;2
318;459;1;2;1
318;1719;1;1;2
319;458;1;2;1
319;1758;1;1;2
320;457;1;2;1
320;1797;1;1;2
321;456;1;2;1
321;1836;1;1;2
322;494;1;2;1
322;1875;1;1;2
323;493;1;2;1
323;1876;1;1;2
324;492;1;2;1
324;1916;1;1;2
325;491;1;2;1
325;1917;1;1;2
326;490;1;2;1
326;1918;1;1;2
327;489;1;2;1
327;1919;1;1;2
328;488;1;2;1
328;1169;0;2;2
328;1919;1;1;2
329;487;1;2;1
329;1168;0;2;2
329;1920;1;1;2
330;487;1;2;1
330;1167;0;2;2
330;1921;1;1;2
331;486;1;2;1
331;1166;0;2;2
331;1921;1;1;2
332;484;1;2;1
332;1165;0;2;2
332;1922;1;1;2
333;484;1;2;1
333;1164;0;2;2
333;1923;1;1;2
334;482;1;2;1
334;1124;0;2;2
334;1924;1;1;2
335;482;1;2;1
335;1163;0;2;2
335;1924;1;1;2
336;481;1;2;1
336;1201;0;2;2
336;1925;1;1;2
337;480;1;2;1
337;1240;0;2;2
337;1887;1;1;2
338;440;1;2;1
338;1279;0;2;2
338;1888;1;1;2
339;439;1;2;1
339;1318;0;2;2
339;1888;1;1;2
340;438;1;2;1
340;1356;0;2;2
340;1850;1;1;2
341;437;1;2;1
341;1395;0;2;2
341;1850;1;1;2
342;437;1;2;1
342;1395;0;2;2
342;1851;1;1;2
343;436;1;2;1
343;1433;0;2;2
343;1813;1;1;2
344;435;1;2;1
344;1472;0;2;2
344;1775;1;1;2
345;474;1;2;1
345;1472;0;2;2
345;1698;1;1;2
346;474;1;2;1
346;1510;0;2;2
346;1699;1;1;2
347;512;1;2;1
347;1548;0;2;2
347;1699;1;1;2
348;512;1;2;1
348;1548;0;2;2
348;1661;1;1;2
349;551;1;2;1
349;1547;0;2;2
349;1623;1;1;2
350;589;1;2;1
350;1546;0;2;2
350;1623;1;1;2
351;589;1;2;1
351;1545;0;2;2
351;1585;1;1;2
352;628;1;2;1
352;1544;0;2;2
352;1585;1;1;2
353;667;1;2;1
353;1543;0;2;2
353;1547;1;1;2
354;705;1;2;1
354;1542;0;2;2
354;1547;1;1;2
355;744;1;2;1
355;1541;0;2;2
355;1509;1;1;2
356;783;1;2;1
356;1579;0;2;2
356;1509;1;1;2
357;784;1;2;1
357;1578;0;2;2
357;1471;1;1;2
358;784;1;2;1
358;1578;0;2;2
358;1472;1;1;2
359;786;1;2;1
359;1576;0;2;2
359;1433;1;1;2
360;787;1;2;1
360;1576;0;2;2
360;1396;1;1;2
361;748;1;2;1
361;1575;0;2;2
361;1358;1;1;2
362;749;1;2;1
362;1613;0;2;2
362;1358;1;1;2
363;750;1;2;1
363;1612;0;2;2
363;1320;1;1;2
364;751;1;2;1
364;1611;0;2;2
364;1320;1;1;2
365;752;1;2;1
365;1571;0;2;2
365;1282;1;1;2
366;753;1;2;1
366;1571;0;2;2
366;1283;1;1;2
367;753;1;2;1
367;1531;0;2;2
367;1245;1;1;2
368;754;1;2;1
368;1493;0;2;2
368;1207;1;1;2
369;794;1;2;1
369;1494;0;2;2
369;1208;1;1;2
370;795;1;2;1
370;1455;0;2;2
371;796;1;2;1
371;1456;0;2;2
372;797;1;2;1
372;1417;0;2;2
373;798;1;2;1
373;1417;0;2;2
374;799;1;2;1
374;1378;0;2;2
375;800;1;2;1
375;1339;0;2;2
376;800;1;2;1
376;1300;0;2;2
377;801;1;2;1
377;1261;0;2;2
378;802;1;2;1
378;1222;0;2;2
379;764;1;2;1
379;1143;0;2;2
380;765;1;2;1
380;1143;0;2;2
381;766;1;2;1
381;1182;0;2;2
382;727;1;2;1
382;1183;0;2;2
383;728;1;2;1
383;1261;0;2;2
384;690;1;2;1
384;1261;0;2;2
385;690;1;2;1
385;1301;0;2;2
386;613;1;2;1
386;1302;0;2;2
387;614;1;2;1
387;1303;0;2;2
388;575;1;2;1
388;1304;0;2;2
389;537;1;2;1
389;1343;0;2;2
390;537;1;2;1
390;1344;0;2;2
391;499;1;2;1
391;1345;0;2;2
392;499;1;2;1
392;1346;0;2;2
393;500;1;2;1
393;1308;0;2;2
394;462;1;2;1
394;1309;0;2;2
395;463;1;2;1
395;1310;0;2;2
396;464;1;2;1
396;1311;0;2;2
397;465;1;2;1
397;1311;0;2;2
398;466;1;2;1
398;1312;0;2;2
399;467;1;2;1
399;1313;0;2;2
400;1314;0;2;2
401;1315;0;2;2
402;1277;0;2;2
403;1277;0;2;2
404;1278;0;2;2
405;1240;0;2;2
406;1242;0;2;2
407;1243;0;2;2
408;1244;0;2;2
408;1286;0;2;3
409;1206;0;2;2
409;1324;0;2;3
410;1208;0;2;2
410;1323;0;2;3
411;1360;0;2;3
412;1359;0;2;3
413;1397;0;2;3
414;1397;0;2;3
415;1435;0;2;3
416;1435;0;2;3
417;1473;0;2;3
418;1472;0;2;3
419;1510;0;2;3
420;1549;0;2;3
421;1549;0;2;3
422;1588;0;2;3
423;1627;0;2;3
424;1627;0;2;3
425;1666;0;2;3
426;1705;0;2;3
427;1744;0;2;3
428;1744;0;2;3
429;1783;0;2;3
430;1782;0;2;3
431;1821;0;2;3
432;1286;1;1;3
432;1820;0;2;3
433;1324;1;1;3
433;1858;0;2;3
434;1362;1;1;3
434;1857;0;2;3
435;1361;1;1;3
435;1856;0;2;3
436;1399;1;1;3
436;1855;0;2;3
437;1398;1;1;3
437;1854;0;2;3
438;1436;1;1;3
438;1854;0;2;3
439;1435;1;1;3
439;1814;0;2;3
440;1473;1;1;3
440;1813;0;2;3
441;1472;1;1;3
441;1812;0;2;3
442;1509;1;1;3
442;1850;0;2;3
443;1509;1;1;3
443;1849;0;2;3
444;1508;1;1;3
444;1887;0;2;3
445;1546;1;1;3
445;1886;0;2;3
446;1545;1;1;3
446;1885;0;2;3
447;1544;1;1;3
447;1885;0;2;3
448;1543;1;1;3
448;1884;0;2;3
449;1541;1;1;3
449;1844;0;2;3
450;1579;1;1;3
450;1843;0;2;3
451;1578;1;1;3
451;1842;0;2;3
452;1577;1;1;3
452;1880;0;2;3
453;1576;1;1;3
453;1880;0;2;3
454;1575;1;1;3
454;1879;0;2;3
455;1613;1;1;3
455;1878;0;2;3
456;1613;1;1;3
456;1877;0;2;3
457;1612;1;1;3
457;1876;0;2;3
458;1611;1;1;3
458;1876;0;2;3
459;1610;1;1;3
459;1837;0;2;3
460;1609;1;1;3
460;1798;0;2;3
461;1608;1;1;3
461;1759;0;2;3
462;1646;1;1;3
462;1720;0;2;3
463;1645;1;1;3
463;1721;0;2;3
464;1645;1;1;3
464;1683;0;2;3
465;1683;1;1;3
465;1645;0;2;3
466;1682;1;1;3
466;1646;0;2;3
467;1720;1;1;3
467;1647;0;2;3
468;1759;1;1;3
468;1609;0;2;3
469;1798;1;1;3
469;1609;0;2;3
470;1798;1;1;3
470;1571;0;2;3
471;1837;1;1;3
471;1532;0;2;3
472;1877;1;1;3
472;1494;0;2;3
473;1878;1;1;3
473;1494;0;2;3
474;1879;1;1;3
474;1455;0;2;3
475;1919;1;1;3
475;1416;0;2;3
476;1920;1;1;3
476;467;0;1;4
476;1376;0;2;3
477;1921;1;1;3
477;466;0;1;4
477;1337;0;2;3
478;1922;1;1;3
478;466;0;1;4
478;1336;0;2;3
479;1923;1;1;3
479;425;0;1;4
479;1297;0;2;3
480;1885;1;1;3
480;424;0;1;4
480;1257;0;2;3
481;1886;1;1;3
481;423;0;1;4
481;1218;0;2;3
482;1887;1;1;3
482;383;0;1;4
482;1178;0;2;3
483;1888;1;1;3
483;382;0;1;4
483;1139;0;2;3
484;1889;1;1;3
484;382;0;1;4
484;1100;0;2;3
485;1890;1;1;3
485;381;0;1;4
485;1218;0;2;3
486;1891;1;1;3
486;341;0;1;4
486;1258;0;2;3
487;1892;1;1;3
487;340;0;1;4
487;1298;0;2;3
488;1893;1;1;3
488;301;0;1;4
488;1300;0;2;3
489;1894;1;1;3
489;299;0;1;4
489;1301;0;2;3
490;1895;1;1;3
490;259;0;1;4
490;1302;0;2;3
491;1896;1;1;3
491;258;0;1;4
491;1302;0;2;3
492;1897;1;1;3
492;257;0;1;4
492;1303;0;2;3
493;1898;1;1;3
493;217;0;1;4
493;1343;0;2;3
494;1900;1;1;3
494;217;0;1;4
494;1344;0;2;3
495;1901;1;1;3
495;215;0;1;4
495;1344;0;2;3
496;1901;1;1;3
496;254;0;1;4
496;1345;0;2;3
497;1902;1;1;3
497;254;0;1;4
497;1307;0;2;3
498;1903;1;1;3
498;293;0;1;4
498;1308;0;2;3
499;1904;1;1;3
499;332;0;1;4
499;1309;0;2;3
500;1906;1;1;3
500;372;0;1;4
500;1310;0;2;3
501;1868;1;1;3
501;372;0;1;4
501;1310;0;2;3
502;1829;1;1;3
502;412;0;1;4
502;1311;0;2;3
503;1830;1;1;3
503;412;0;1;4
503;1312;0;2;3
504;1791;1;1;3
504;451;0;1;4
504;1313;0;2;3
505;1753;1;1;3
505;490;0;1;4
505;1314;0;2;3
506;1714;1;1;3
506;490;0;1;4
506;1316;0;2;3
507;1675;1;1;3
507;528;0;1;4
507;1278;0;2;3
508;1636;1;1;3
508;527;0;1;4
508;1278;0;2;3
509;1635;1;1;3
509;526;0;1;4
509;1279;0;2;3
510;1634;1;1;3
510;525;0;1;4
510;1280;0;2;3
511;1634;1;1;3
511;524;0;1;4
511;1242;0;2;3
512;1633;1;1;3
512;524;0;1;4
512;1244;0;2;3
513;1671;1;1;3
513;523;0;1;4
513;1244;0;2;3
514;1670;1;1;3
514;522;0;1;4
514;1245;0;2;3
515;1708;1;1;3
515;482;0;1;4
